Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,B08604,Daytime Population,id,Geographic Area Name
3221,1337,61.3,38.7,54812,80961,1311.041908,2877.041908,1400000US48005000903,"Census Tract 9.03, Angelina County, Texas"
3410,1320,68.4,31.6,72917,85565,1387.970477,3444.970477,1400000US48005000904,"Census Tract 9.04, Angelina County, Texas"
5120,1690,51.9,48.1,41164,51203,2083.990863,5565.990863,1400000US48005001001,"Census Tract 10.01, Angelina County, Texas"
3922,1570,50.5,49.5,57031,79819,1596.369563,3991.369563,1400000US48005001002,"Census Tract 10.02, Angelina County, Texas"
3585,1433,63.1,36.9,61431,78957,1459.200634,3383.200634,1400000US48005001101,"Census Tract 11.01, Angelina County, Texas"
3265,1414,54.3,45.6,45296,65055,1328.951205,3341.951205,1400000US48005001102,"Census Tract 11.02, Angelina County, Texas"
2380,1991,40.2,59.9,35500,56888,968.7301278,2619.730128,1400000US48005001200,"Census Tract 12, Angelina County, Texas"
5299,2716,53.5,46.5,42657,52446,2156.849137,5594.849137,1400000US48005001300,"Census Tract 13, Angelina County, Texas"
1447,1238,55.7,44.3,37083,58610,452.381668,1475.381668,1400000US48007950101,"Census Tract 9501.01, Aransas County, Texas"
2732,2326,52.9,47.1,50543,87130,854.1165979,2598.116598,1400000US48007950102,"Census Tract 9501.02, Aransas County, Texas"
547,913,16.5,83.5,38365,61216,171.0109001,560.0109001,1400000US48007950103,"Census Tract 9501.03, Aransas County, Texas"
1110,1546,78.6,21.5,64732,145612,347.0239472,1019.023947,1400000US48007950200,"Census Tract 9502, Aransas County, Texas"
4049,2322,31.5,68.4,36201,55292,1265.855822,3286.855822,1400000US48007950301,"Census Tract 9503.01, Aransas County, Texas"
3355,1501,84.5,15.5,102672,107000,1048.887696,3066.887696,1400000US48007950302,"Census Tract 9503.02, Aransas County, Texas"
3992,2227,45.2,54.8,42804,54933,1248.035673,3608.035673,1400000US48007950400,"Census Tract 9504, Aransas County, Texas"
2403,1245,53.8,46.2,45359,67582,751.2599505,2326.25995,1400000US48007950501,"Census Tract 9505.01, Aransas County, Texas"
2788,1505,51,49,37700,51658,871.6241123,3102.624112,1400000US48007950502,"Census Tract 9505.02, Aransas County, Texas"
1797,1426,51.6,48.4,-,113442,561.8036334,1670.803633,1400000US48007950503,"Census Tract 9505.03, Aransas County, Texas"
0,0,#VALUE!,#VALUE!,-,-,0,0,1400000US48007990000,"Census Tract 9900, Aransas County, Texas"
2748,1178,61.8,38.2,86397,106206,647.6038382,1990.603838,1400000US48009020100,"Census Tract 201, Archer County, Texas"
2529,1360,47.1,52.8,50208,76799,595.9934887,2028.993489,1400000US48009020200,"Census Tract 202, Archer County, Texas"
3477,1638,58.5,41.5,56556,69926,819.4026731,2583.402673,1400000US48009020300,"Census Tract 203, Archer County, Texas"
1950,913,51.4,48.6,69386,85943,588,1630,1400000US48011950100,"Census Tract 9501, Armstrong County, Texas"
3671,1246,49.6,50.4,58031,89773,1184.806949,3445.806949,1400000US48013960101,"Census Tract 9601.01, Atascosa County, Texas"
4600,1738,34.3,65.7,63472,80721,1484.639598,4333.639598,1400000US48013960102,"Census Tract 9601.02, Atascosa County, Texas"
2760,936,49,51,51481,63036,890.783759,2508.783759,1400000US48013960203,"Census Tract 9602.03, Atascosa County, Texas"
3397,1178,51.2,48.9,85216,95993,1096.374069,2984.374069,1400000US48013960204,"Census Tract 9602.04, Atascosa County, Texas"
5750,1943,44.6,55.4,50653,62953,1855.799498,5451.799498,1400000US48013960205,"Census Tract 9602.05, Atascosa County, Texas"
6031,2057,50.9,49,58345,75477,1946.491613,5567.491613,1400000US48013960206,"Census Tract 9602.06, Atascosa County, Texas"
3631,1293,35.2,64.7,52422,61698,1171.897039,3182.897039,1400000US48013960300,"Census Tract 9603, Atascosa County, Texas"
2372,810,31.8,68.2,51107,61108,765.5576364,2118.557636,1400000US48013960401,"Census Tract 9604.01, Atascosa County, Texas"
3982,1703,42.5,57.6,40577,60334,1285.181496,3809.181496,1400000US48013960403,"Census Tract 9604.03, Atascosa County, Texas"
4730,1510,47.2,52.8,89637,111808,1526.596804,4637.596804,1400000US48013960404,"Census Tract 9604.04, Atascosa County, Texas"
2566,1120,45.7,54.2,41295,53947,828.1706977,2503.170698,1400000US48013960500,"Census Tract 9605, Atascosa County, Texas"
3498,1369,26.9,73,59037,63227,1128.97159,3448.97159,1400000US48013960601,"Census Tract 9606.01, Atascosa County, Texas"
3206,1735,62.9,37.2,69930,101338,1034.729251,2921.729251,1400000US48013960602,"Census Tract 9606.02, Atascosa County, Texas"
2578,1179,53.3,46.7,38750,59286,961.5322494,2529.532249,1400000US48015760100,"Census Tract 7601, Austin County, Texas"
1956,963,55.6,44.4,60046,58480,729.5411481,1798.541148,1400000US48015760201,"Census Tract 7602.01, Austin County, Texas"
4312,1721,56.7,43.3,74792,84218,1608.272715,3951.272715,1400000US48015760202,"Census Tract 7602.02, Austin County, Texas"
2358,1151,52.4,47.8,63401,72734,879.4775191,2054.477519,1400000US48015760301,"Census Tract 7603.01, Austin County, Texas"
4777,1959,53.5,46.5,86012,99216,1781.706577,3921.706577,1400000US48015760302,"Census Tract 7603.02, Austin County, Texas"
3978,2126,66.9,33.1,80599,94121,1483.698715,3610.698715,1400000US48015760400,"Census Tract 7604, Austin County, Texas"
4339,1936,69.7,30.3,80330,88684,1618.343068,4295.343068,1400000US48015760501,"Census Tract 7605.01, Austin County, Texas"
5594,2300,38.4,61.6,52670,63713,2086.428007,4963.428007,1400000US48015760502,"Census Tract 7605.02, Austin County, Texas"
4294,1514,40.1,59.9,44042,62573,1799.928571,4496.928571,1400000US48017950101,"Census Tract 9501.01, Bailey County, Texas"
2622,1163,39.5,60.5,62723,76366,1099.071429,2505.071429,1400000US48017950102,"Census Tract 9501.02, Bailey County, Texas"
4909,2206,51.8,48.2,69096,77466,993.0107159,3919.010716,1400000US48019000101,"Census Tract 1.01, Bandera County, Texas"
4302,1979,53.3,46.8,53507,65825,870.2245059,3761.224506,1400000US48019000103,"Census Tract 1.03, Bandera County, Texas"
1350,740,89.1,10.9,69040,92131,273.083004,1082.083004,1400000US48019000104,"Census Tract 1.04, Bandera County, Texas"
3169,2127,50.1,49.9,58971,83025,641.0370663,2623.037066,1400000US48019000200,"Census Tract 2, Bandera County, Texas"
3236,1796,50.3,49.8,57311,63238,654.5900747,2500.590075,1400000US48019000301,"Census Tract 3.01, Bandera County, Texas"
3362,1362,49.7,50.3,62167,111828,680.0778217,2233.077822,1400000US48019000302,"Census Tract 3.02, Bandera County, Texas"
2442,1793,68.9,31,64559,73392,493.9768116,2020.976812,1400000US48019000400,"Census Tract 4, Bandera County, Texas"
5784,1740,56.5,43.5,85345,92345,1452.077799,4861.077799,1400000US48021950101,"Census Tract 9501.01, Bastrop County, Texas"
3851,1579,53.5,46.5,88097,101445,966.7966121,3001.796612,1400000US48021950102,"Census Tract 9501.02, Bastrop County, Texas"
3613,1321,46.5,53.5,54910,63424,907.0465229,2705.046523,1400000US48021950201,"Census Tract 9502.01, Bastrop County, Texas"
6249,1803,49.2,50.8,74537,86401,1568.816419,4759.816419,1400000US48021950202,"Census Tract 9502.02, Bastrop County, Texas"
4549,1568,63.4,36.7,96800,107756,1142.030067,3939.030067,1400000US48021950301,"Census Tract 9503.01, Bastrop County, Texas"
3929,1718,72.9,27,63047,75778,986.3785741,3393.378574,1400000US48021950302,"Census Tract 9503.02, Bastrop County, Texas"
7062,2022,46.4,53.7,69847,79688,1772.920715,6240.920715,1400000US48021950303,"Census Tract 9503.03, Bastrop County, Texas"
4686,2283,55.6,44.4,50958,80300,1176.424026,3420.424026,1400000US48021950401,"Census Tract 9504.01, Bastrop County, Texas"
2352,899,67.8,32.2,113750,124178,590.4714702,1956.47147,1400000US48021950402,"Census Tract 9504.02, Bastrop County, Texas"
2617,885,37.9,62.1,55313,71994,656.9999309,2325.999931,1400000US48021950403,"Census Tract 9504.03, Bastrop County, Texas"
3416,1467,66.6,33.4,72289,83647,857.5895162,2459.589516,1400000US48021950503,"Census Tract 9505.03, Bastrop County, Texas"
3299,1286,55.3,44.7,67700,92137,828.2165732,2530.216573,1400000US48021950504,"Census Tract 9505.04, Bastrop County, Texas"
4004,1466,50.8,49.1,44583,67515,1005.207384,3359.207384,1400000US48021950505,"Census Tract 9505.05, Bastrop County, Texas"
5173,1073,36,63.9,58542,73605,1298.685763,4700.685763,1400000US48021950506,"Census Tract 9505.06, Bastrop County, Texas"
3076,1599,60.1,39.8,76042,91647,772.2322459,2424.232246,1400000US48021950601,"Census Tract 9506.01, Bastrop County, Texas"
1967,922,42.4,57.5,52188,69513,493.8169141,1700.816914,1400000US48021950602,"Census Tract 9506.02, Bastrop County, Texas"
4671,2212,55.7,44.3,57540,82329,1172.658264,3477.658264,1400000US48021950700,"Census Tract 9507, Bastrop County, Texas"
3061,631,47.5,52.5,80429,85349,768.466484,2550.466484,1400000US48021950803,"Census Tract 9508.03, Bastrop County, Texas"
5184,1410,49.2,50.9,86804,86507,1301.447322,4665.447322,1400000US48021950804,"Census Tract 9508.04, Bastrop County, Texas"
5337,1466,48.2,51.8,70514,90429,1339.858094,4247.858094,1400000US48021950805,"Census Tract 9508.05, Bastrop County, Texas"
2959,1085,55.4,44.6,60089,79267,742.8593028,2324.859303,1400000US48021950806,"Census Tract 9508.06, Bastrop County, Texas"
1400,849,69.8,30.2,50455,65785,542.3033708,1315.303371,1400000US48023950301,"Census Tract 9503.01, Baylor County, Texas"
2160,1752,40.6,59.4,40721,52420,836.6966292,2177.696629,1400000US48023950302,"Census Tract 9503.02, Baylor County, Texas"
1897,933,50.4,49.6,58668,83984,528.5119139,1715.511914,1400000US48025950100,"Census Tract 9501, Bee County, Texas"
8678,545,36.4,63.6,75139,73170,2417.726088,10590.72609,1400000US48025950201,"Census Tract 9502.01, Bee County, Texas"
1857,821,44.5,55.5,53011,73413,517.3677512,1728.367751,1400000US48025950203,"Census Tract 9502.03, Bee County, Texas"
3312,1231,54.1,45.8,62854,81656,922.7366678,2725.736668,1400000US48025950204,"Census Tract 9502.04, Bee County, Texas"
5837,2381,38.2,61.8,51328,66665,1626.211935,4978.211935,1400000US48025950300,"Census Tract 9503, Bee County, Texas"
2223,894,46.3,53.7,35478,44168,619.3368395,2122.33684,1400000US48025950400,"Census Tract 9504, Bee County, Texas"
3166,1308,67.3,32.7,33698,47520,882.0604741,3022.060474,1400000US48025950501,"Census Tract 9505.01, Bee County, Texas"
3133,1418,22.7,77.3,35714,42164,872.8665399,2516.86654,1400000US48025950502,"Census Tract 9505.02, Bee County, Texas"
2506,1192,52.6,47.4,36653,62213,698.1817903,2355.18179,1400000US48025950600,"Census Tract 9506, Bee County, Texas"
3453,1295,45.1,54.8,51723,63581,1573.342899,3601.342899,1400000US48027020101,"Census Tract 201.01, Bell County, Texas"
4060,1569,60.7,39.2,65052,76466,1849.919539,4375.919539,1400000US48027020102,"Census Tract 201.02, Bell County, Texas"
8019,2861,65.9,34,93413,124809,3653.818912,8119.818912,1400000US48027020201,"Census Tract 202.01, Bell County, Texas"
4136,1708,71.1,28.9,73106,91848,1884.548575,3816.548575,1400000US48027020203,"Census Tract 202.03, Bell County, Texas"
3595,1096,60.6,39.4,65402,82108,1638.044518,3704.044518,1400000US48027020204,"Census Tract 202.04, Bell County, Texas"
8546,2990,69.1,30.9,85906,89442,3893.943936,8968.943936,1400000US48027020301,"Census Tract 203.01, Bell County, Texas"
3708,1116,69.7,30.4,82557,94715,1689.532426,3856.532426,1400000US48027020302,"Census Tract 203.02, Bell County, Texas"
3379,1375,49.5,50.4,44353,47277,1539.625153,3605.625153,1400000US48027020401,"Census Tract 204.01, Bell County, Texas"
3081,1021,51.2,48.8,39135,50100,1403.842882,3524.842882,1400000US48027020402,"Census Tract 204.02, Bell County, Texas"
3831,1532,54.3,45.7,58474,58929,1745.576787,3915.576787,1400000US48027020500,"Census Tract 205, Bell County, Texas"
2917,1127,66.1,33.8,61544,81056,1329.117068,3043.117068,1400000US48027020600,"Census Tract 206, Bell County, Texas"
1381,866,41.6,58.5,16261,30793,629.2460304,1588.24603,1400000US48027020701,"Census Tract 207.01, Bell County, Texas"
1717,651,18.7,81.4,29779,38371,782.3428198,1750.34282,1400000US48027020702,"Census Tract 207.02, Bell County, Texas"
2918,1280,44.2,55.8,22052,38973,1329.572713,3090.572713,1400000US48027020800,"Census Tract 208, Bell County, Texas"
2884,1025,23.1,76.9,21274,30540,1314.080776,3403.080776,1400000US48027020900,"Census Tract 209, Bell County, Texas"
4240,1995,53.1,46.8,37941,42725,1931.935676,4306.935676,1400000US48027021000,"Census Tract 210, Bell County, Texas"
2545,1575,82.9,17.1,53646,59176,1159.617051,2680.617051,1400000US48027021101,"Census Tract 211.01, Bell County, Texas"
2700,1183,36.3,63.8,43281,47133,1230.242058,2673.242058,1400000US48027021102,"Census Tract 211.02, Bell County, Texas"
3462,1714,61.7,38.4,50913,59587,1577.443705,3305.443705,1400000US48027021201,"Census Tract 212.01, Bell County, Texas"
3652,1590,49,51,46893,62355,1664.016295,3696.016295,1400000US48027021202,"Census Tract 212.02, Bell County, Texas"
4524,2056,49.2,50.8,47347,89115,2061.338915,4443.338915,1400000US48027021203,"Census Tract 212.03, Bell County, Texas"
5822,2200,69.1,31,63149,86431,2652.766393,6269.766393,1400000US48027021301,"Census Tract 213.01, Bell County, Texas"
2678,1347,66.2,33.8,67625,87484,1220.217863,2724.217863,1400000US48027021302,"Census Tract 213.02, Bell County, Texas"
4570,1980,68,31.9,51453,61938,2082.298594,4528.298594,1400000US48027021304,"Census Tract 213.04, Bell County, Texas"
5108,1961,79.9,20.1,72988,103577,2327.435715,5246.435715,1400000US48027021305,"Census Tract 213.05, Bell County, Texas"
4413,1567,52.1,47.9,66000,89520,2010.762297,4403.762297,1400000US48027021400,"Census Tract 214, Bell County, Texas"
4436,1251,47.1,52.8,41719,57439,2021.242137,4589.242137,1400000US48027021501,"Census Tract 215.01, Bell County, Texas"
3674,1196,60.3,39.6,86930,87428,1674.040489,3873.040489,1400000US48027021502,"Census Tract 215.02, Bell County, Texas"
6066,2267,43.8,56.3,38281,51242,2763.943823,6222.943823,1400000US48027021601,"Census Tract 216.01, Bell County, Texas"
2824,564,59.1,40.9,29279,76864,1286.742064,2693.742064,1400000US48027021602,"Census Tract 216.02, Bell County, Texas"
5460,2171,75.7,24.4,82083,143118,2487.822828,5729.822828,1400000US48027021701,"Census Tract 217.01, Bell County, Texas"
3739,1955,68,32,50029,61792,1703.657428,3545.657428,1400000US48027021702,"Census Tract 217.02, Bell County, Texas"
5116,2096,55.7,44.2,44875,64408,2331.080877,4987.080877,1400000US48027021801,"Census Tract 218.01, Bell County, Texas"
5411,1838,55.4,44.6,86328,116526,2465.496213,5129.496213,1400000US48027021802,"Census Tract 218.02, Bell County, Texas"
4040,1689,57.4,42.6,44965,60184,1840.806635,4066.806635,1400000US48027021901,"Census Tract 219.01, Bell County, Texas"
3284,1400,77,23,80333,90860,1496.338859,3436.338859,1400000US48027021905,"Census Tract 219.05, Bell County, Texas"
5122,1505,70.1,30,95333,105773,2333.814748,5425.814748,1400000US48027021906,"Census Tract 219.06, Bell County, Texas"
6109,2078,55.7,44.2,73484,87539,2783.536567,5894.536567,1400000US48027021907,"Census Tract 219.07, Bell County, Texas"
7082,2595,67.8,32.2,93203,99255,3226.879353,6858.879353,1400000US48027021908,"Census Tract 219.08, Bell County, Texas"
3989,2133,54.4,45.6,31717,42503,1817.568729,3606.568729,1400000US48027022001,"Census Tract 220.01, Bell County, Texas"
5211,1705,60.1,39.9,87965,101048,2374.367172,5173.367172,1400000US48027022002,"Census Tract 220.02, Bell County, Texas"
4465,2041,37.8,62.2,42597,45954,2034.455848,4885.455848,1400000US48027022101,"Census Tract 221.01, Bell County, Texas"
5712,1921,44.9,55.2,54625,64551,2602.64542,5842.64542,1400000US48027022103,"Census Tract 221.03, Bell County, Texas"
4111,2082,51.8,48.2,38854,54805,1873.157444,4050.157444,1400000US48027022104,"Census Tract 221.04, Bell County, Texas"
2181,906,53,47.1,47773,61873,993.7621957,2294.762196,1400000US48027022105,"Census Tract 221.05, Bell County, Texas"
4336,2401,37.3,62.7,50652,50803,1975.677616,3823.677616,1400000US48027022200,"Census Tract 222, Bell County, Texas"
3574,2205,47,53,33975,40268,1628.475969,3616.475969,1400000US48027022300,"Census Tract 223, Bell County, Texas"
6274,2434,61.3,38.7,39874,49017,2858.718026,6086.718026,1400000US48027022401,"Census Tract 224.01, Bell County, Texas"
7722,2492,71.8,28.1,98287,108160,3518.492286,8215.492286,1400000US48027022402,"Census Tract 224.02, Bell County, Texas"
4239,1628,60.6,39.4,66197,78298,1931.480031,4317.480031,1400000US48027022403,"Census Tract 224.03, Bell County, Texas"
2538,1324,46.5,53.6,47475,58013,1156.427534,2244.427534,1400000US48027022405,"Census Tract 224.05, Bell County, Texas"
4343,1775,62.3,37.7,71388,78200,1978.867132,3904.867132,1400000US48027022406,"Census Tract 224.06, Bell County, Texas"
3426,1255,79.7,20.2,69342,71205,1561.040478,3631.040478,1400000US48027022407,"Census Tract 224.07, Bell County, Texas"
3160,1462,42.4,57.6,44361,49819,1439.838853,3209.838853,1400000US48027022501,"Census Tract 225.01, Bell County, Texas"
4889,2353,61.5,38.5,43491,54655,2227.649415,4865.649415,1400000US48027022503,"Census Tract 225.03, Bell County, Texas"
6509,2445,56.8,43.1,74803,93870,2965.79465,6140.79465,1400000US48027022504,"Census Tract 225.04, Bell County, Texas"
3997,2363,25.9,74.1,25031,29643,1821.213891,4116.213891,1400000US48027022600,"Census Tract 226, Bell County, Texas"
2276,1604,36.2,63.8,28125,32354,1037.04849,2326.04849,1400000US48027022801,"Census Tract 228.01, Bell County, Texas"
3902,2243,49.7,50.3,31667,36630,1777.927596,4177.927596,1400000US48027022900,"Census Tract 229, Bell County, Texas"
5879,1911,67.3,32.7,64107,79875,2678.73817,5999.73817,1400000US48027023001,"Census Tract 230.01, Bell County, Texas"
3338,1598,44.5,55.5,47349,92638,1520.9437,3397.9437,1400000US48027023002,"Census Tract 230.02, Bell County, Texas"
4670,1963,43.6,56.4,36013,46186,2127.863115,5144.863115,1400000US48027023103,"Census Tract 231.03, Bell County, Texas"
3217,1716,57,43,42344,42094,1465.81063,3165.81063,1400000US48027023104,"Census Tract 231.04, Bell County, Texas"
3556,1301,54.5,45.5,50395,71151,1620.274355,3766.274355,1400000US48027023109,"Census Tract 231.09, Bell County, Texas"
3312,1676,29.3,70.7,37344,40622,1509.096924,2936.096924,1400000US48027023110,"Census Tract 231.10, Bell County, Texas"
4266,2012,77.8,22.1,51063,80535,1943.782452,4301.782452,1400000US48027023111,"Census Tract 231.11, Bell County, Texas"
4085,1827,45.8,54.1,44871,58086,1861.310669,3660.310669,1400000US48027023112,"Census Tract 231.12, Bell County, Texas"
5732,2106,71.2,28.7,60759,64633,2611.758324,5861.758324,1400000US48027023113,"Census Tract 231.13, Bell County, Texas"
4421,1595,54.9,45.1,43799,63941,2014.407459,4172.407459,1400000US48027023114,"Census Tract 231.14, Bell County, Texas"
6480,1696,45.4,54.7,64808,85682,2952.580939,6740.580939,1400000US48027023115,"Census Tract 231.15, Bell County, Texas"
6219,2361,59.1,40.9,70974,75547,2833.65754,6324.65754,1400000US48027023116,"Census Tract 231.16, Bell County, Texas"
5119,1768,61,39,48249,53738,2332.447813,5787.447813,1400000US48027023117,"Census Tract 231.17, Bell County, Texas"
5656,1899,66.5,33.6,73271,72556,2577.129289,6070.129289,1400000US48027023118,"Census Tract 231.18, Bell County, Texas"
1041,906,79.2,20.8,63438,79485,474.3266601,988.3266601,1400000US48027023201,"Census Tract 232.01, Bell County, Texas"
4523,1137,35,65,33125,40163,2060.88327,3390.88327,1400000US48027023202,"Census Tract 232.02, Bell County, Texas"
1074,901,41.9,58.1,43250,46752,489.3629519,1180.362952,1400000US48027023203,"Census Tract 232.03, Bell County, Texas"
4603,713,46.3,53.8,47063,57465,2097.334886,3087.334886,1400000US48027023204,"Census Tract 232.04, Bell County, Texas"
5159,1930,53.2,46.7,90369,91166,2350.673621,5005.673621,1400000US48027023301,"Census Tract 233.01, Bell County, Texas"
3217,1366,62.9,37.1,69231,75105,1465.81063,2978.81063,1400000US48027023302,"Census Tract 233.02, Bell County, Texas"
5559,2074,57.7,42.3,66607,79347,2532.931704,5666.931704,1400000US48027023402,"Census Tract 234.02, Bell County, Texas"
4814,1866,52,47.9,89034,100212,2193.476025,4940.476025,1400000US48027023404,"Census Tract 234.04, Bell County, Texas"
3402,1179,73.1,26.8,85938,111699,1550.104993,3595.104993,1400000US48027023405,"Census Tract 234.05, Bell County, Texas"
3619,1465,55.8,44.3,92601,117761,1648.980003,3502.980003,1400000US48027023406,"Census Tract 234.06, Bell County, Texas"
2097,1087,28.5,71.5,30313,35932,955.4879983,2170.487998,1400000US48027023500,"Census Tract 235, Bell County, Texas"
86,0,0,100,-,-,39.18548777,57.18548777,1400000US48027980001,"Census Tract 9800.01, Bell County, Texas"
0,0,#VALUE!,#VALUE!,-,-,0,0,1400000US48027980002,"Census Tract 9800.02, Bell County, Texas"
0,0,#VALUE!,#VALUE!,-,-,0,0,1400000US48027980003,"Census Tract 9800.03, Bell County, Texas"
3153,2671,70.9,29,52659,69432,1536.292927,2941.292927,1400000US48029110100,"Census Tract 1101, Bexar County, Texas"
3114,1790,69.4,30.7,43875,49837,1517.290255,3055.290255,1400000US48029110300,"Census Tract 1103, Bexar County, Texas"
2430,931,41,58.9,10518,21277,1184.012627,3026.012627,1400000US48029110500,"Census Tract 1105, Bexar County, Texas"
5645,1544,32.8,67.3,16712,23578,2750.514929,7323.514929,1400000US48029110600,"Census Tract 1106, Bexar County, Texas"
1079,671,28.7,71.2,18700,27271,525.7405861,1221.740586,1400000US48029110700,"Census Tract 1107, Bexar County, Texas"
2882,1424,56.1,44,48683,62507,1404.24872,2907.24872,1400000US48029111000,"Census Tract 1110, Bexar County, Texas"
3712,2358,74.5,25.6,55179,88450,1808.664556,3523.664556,1400000US48029111100,"Census Tract 1111, Bexar County, Texas"
4946,990,69.7,30.3,80781,94693,2409.928581,4928.928581,1400000US48029120100,"Census Tract 1201, Bexar County, Texas"
3836,1700,89.3,10.6,123212,149111,1869.083307,3382.083307,1400000US48029120301,"Census Tract 1203.01, Bexar County, Texas"
4665,2072,89.9,10.2,190865,347143,2273.011894,4584.011894,1400000US48029120302,"Census Tract 1203.02, Bexar County, Texas"
2547,1259,75.2,24.8,90382,112769,1241.020642,2860.020642,1400000US48029120401,"Census Tract 1204.01, Bexar County, Texas"
3796,1168,82.3,17.6,217361,347988,1849.593387,4163.593387,1400000US48029120402,"Census Tract 1204.02, Bexar County, Texas"
5677,1851,37.9,62.1,38462,55637,2766.106865,6087.106865,1400000US48029120502,"Census Tract 1205.02, Bexar County, Texas"
4374,1743,48.1,51.9,32309,43588,2131.222728,4802.222728,1400000US48029120503,"Census Tract 1205.03, Bexar County, Texas"
6540,2716,43.7,56.3,43548,49584,3186.601884,6133.601884,1400000US48029120504,"Census Tract 1205.04, Bexar County, Texas"
2383,1529,67,33,52688,69854,1161.111971,2065.111971,1400000US48029120601,"Census Tract 1206.01, Bexar County, Texas"
3499,2128,77.1,23,64205,92515,1704.880733,3245.880733,1400000US48029120602,"Census Tract 1206.02, Bexar County, Texas"
6597,2867,66.6,33.4,56332,73460,3214.37502,6625.37502,1400000US48029120701,"Census Tract 1207.01, Bexar County, Texas"
5235,3055,77,23.1,72371,132917,2550.743251,5085.743251,1400000US48029120702,"Census Tract 1207.02, Bexar County, Texas"
7031,2949,87.1,12.8,108103,139998,3425.840649,7063.840649,1400000US48029120800,"Census Tract 1208, Bexar County, Texas"
2366,1075,49.8,50.2,47381,70936,1152.828755,2467.828755,1400000US48029120901,"Census Tract 1209.01, Bexar County, Texas"
7153,3670,52.5,47.6,50403,68682,3485.284905,6626.284905,1400000US48029120902,"Census Tract 1209.02, Bexar County, Texas"
